filename,artist,description,genre_count,subset,image_path,genre_1,genre_2
aaron-siskind_chicago-6-1961.jpg,aaron siskind,chicago-6-1961,2,train,./dataset/Abstract_Expressionism/aaron-siskind_chicago-6-1961.jpg,Abstract Expressionism,Abstract Expressionism
abidin-dino_abstract-composition.jpg,abidin dino,abstract-composition,2,train,./dataset/Abstract_Expressionism/abidin-dino_abstract-composition.jpg,Abstract Expressionism,Abstract Expressionism
abidin-dino_antibes-1961.jpg,abidin dino,antibes-1961,2,train,./dataset/Abstract_Expressionism/abidin-dino_antibes-1961.jpg,Abstract Expressionism,Abstract Expressionism
abidin-dino_saman-sar-s-illustration.jpg,abidin dino,saman-sar-s-illustration,2,train,./dataset/Abstract_Expressionism/abidin-dino_saman-sar-s-illustration.jpg,Abstract Expressionism,Abstract Expressionism
abidin-dino_unknown-title-2.jpg,abidin dino,unknown-title-2,2,train,./dataset/Abstract_Expressionism/abidin-dino_unknown-title-2.jpg,Abstract Expressionism,Abstract Expressionism
abidin-dino_unknown-title-8.jpg,abidin dino,unknown-title-8,2,train,./dataset/Abstract_Expressionism/abidin-dino_unknown-title-8.jpg,Abstract Expressionism,Abstract Expressionism
ad-reinhardt_number-107-1950.jpg,ad reinhardt,number-107-1950,2,train,./dataset/Abstract_Expressionism/ad-reinhardt_number-107-1950.jpg,Abstract Expressionism,Abstract Expressionism
ad-reinhardt_number-22-1949.jpg,ad reinhardt,number-22-1949,2,train,./dataset/Abstract_Expressionism/ad-reinhardt_number-22-1949.jpg,Abstract Expressionism,Abstract Expressionism
ad-reinhardt_number-43-abstract-painting-yellow-1947.jpg,ad reinhardt,number-43-abstract-painting-yellow-1947,2,train,./dataset/Abstract_Expressionism/ad-reinhardt_number-43-abstract-painting-yellow-1947.jpg,Abstract Expressionism,Abstract Expressionism
ad-reinhardt_number-6-1946.jpg,ad reinhardt,number-6-1946,2,train,./dataset/Abstract_Expressionism/ad-reinhardt_number-6-1946.jpg,Abstract Expressionism,Abstract Expressionism
ad-reinhardt_yellow-painting-1949.jpg,ad reinhardt,yellow-painting-1949,2,train,./dataset/Abstract_Expressionism/ad-reinhardt_yellow-painting-1949.jpg,Abstract Expressionism,Abstract Expressionism
adnan-coker_unknown-title(3).jpg,adnan coker,unknown-title(3),2,train,./dataset/Abstract_Expressionism/adnan-coker_unknown-title(3).jpg,Abstract Expressionism,Abstract Expressionism
aki-kuroda_first-night-i-1979.jpg,aki kuroda,first-night-i-1979,2,train,./dataset/Abstract_Expressionism/aki-kuroda_first-night-i-1979.jpg,Abstract Expressionism,Abstract Expressionism
aki-kuroda_midnight-spaghetti-2010.jpg,aki kuroda,midnight-spaghetti-2010,2,train,./dataset/Abstract_Expressionism/aki-kuroda_midnight-spaghetti-2010.jpg,Abstract Expressionism,Abstract Expressionism
aki-kuroda_untitled-1987.jpg,aki kuroda,untitled-1987,2,train,./dataset/Abstract_Expressionism/aki-kuroda_untitled-1987.jpg,Abstract Expressionism,Abstract Expressionism
aki-kuroda_untitled-1988-1.jpg,aki kuroda,untitled-1988-1,2,train,./dataset/Abstract_Expressionism/aki-kuroda_untitled-1988-1.jpg,Abstract Expressionism,Abstract Expressionism
aki-kuroda_untitled-1998-1.jpg,aki kuroda,untitled-1998-1,2,train,./dataset/Abstract_Expressionism/aki-kuroda_untitled-1998-1.jpg,Abstract Expressionism,Abstract Expressionism
aki-kuroda_untitled-1998.jpg,aki kuroda,untitled-1998,2,train,./dataset/Abstract_Expressionism/aki-kuroda_untitled-1998.jpg,Abstract Expressionism,Abstract Expressionism
al-held_untitled-1954.jpg,al held,untitled-1954,2,train,./dataset/Abstract_Expressionism/al-held_untitled-1954.jpg,Abstract Expressionism,Abstract Expressionism
al-held_untitled-1955.jpg,al held,untitled-1955,2,train,./dataset/Abstract_Expressionism/al-held_untitled-1955.jpg,Abstract Expressionism,Abstract Expressionism
alexander-liberman_erg-series-1977.jpg,alexander liberman,erg-series-1977,2,train,./dataset/Abstract_Expressionism/alexander-liberman_erg-series-1977.jpg,Abstract Expressionism,Abstract Expressionism
alexander-liberman_untitled-abstract-1975.jpg,alexander liberman,untitled-abstract-1975,2,train,./dataset/Abstract_Expressionism/alexander-liberman_untitled-abstract-1975.jpg,Abstract Expressionism,Abstract Expressionism
alexander-liberman_untitled-abstract-1977.jpg,alexander liberman,untitled-abstract-1977,2,train,./dataset/Abstract_Expressionism/alexander-liberman_untitled-abstract-1977.jpg,Abstract Expressionism,Abstract Expressionism
alfred-jensen_untitled-1961.jpg,alfred jensen,untitled-1961,2,train,./dataset/Abstract_Expressionism/alfred-jensen_untitled-1961.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_abstract-composition-1969-1.jpg,alice baber,abstract-composition-1969-1,2,train,./dataset/Abstract_Expressionism/alice-baber_abstract-composition-1969-1.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_abstract-composition-1969.jpg,alice baber,abstract-composition-1969,2,train,./dataset/Abstract_Expressionism/alice-baber_abstract-composition-1969.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_golden-center-in-the-ladder-1970.jpg,alice baber,golden-center-in-the-ladder-1970,2,train,./dataset/Abstract_Expressionism/alice-baber_golden-center-in-the-ladder-1970.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_green-swing.jpg,alice baber,green-swing,2,train,./dataset/Abstract_Expressionism/alice-baber_green-swing.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_lavender-high-1968.jpg,alice baber,lavender-high-1968,2,train,./dataset/Abstract_Expressionism/alice-baber_lavender-high-1968.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_lord-of-the-rainbow-1976.jpg,alice baber,lord-of-the-rainbow-1976,2,train,./dataset/Abstract_Expressionism/alice-baber_lord-of-the-rainbow-1976.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_night-of-the-res-wind-1978.jpg,alice baber,night-of-the-res-wind-1978,2,train,./dataset/Abstract_Expressionism/alice-baber_night-of-the-res-wind-1978.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_noble-numbers-1965.jpg,alice baber,noble-numbers-1965,2,train,./dataset/Abstract_Expressionism/alice-baber_noble-numbers-1965.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_piper-s-near-1965.jpg,alice baber,piper-s-near-1965,2,train,./dataset/Abstract_Expressionism/alice-baber_piper-s-near-1965.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_red-passage-1966.jpg,alice baber,red-passage-1966,2,train,./dataset/Abstract_Expressionism/alice-baber_red-passage-1966.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_red-yellow-and-blue-1960.jpg,alice baber,red-yellow-and-blue-1960,2,train,./dataset/Abstract_Expressionism/alice-baber_red-yellow-and-blue-1960.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_seven-green-leagues-1967.jpg,alice baber,seven-green-leagues-1967,2,train,./dataset/Abstract_Expressionism/alice-baber_seven-green-leagues-1967.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_through-sleep-to-orange-1968.jpg,alice baber,through-sleep-to-orange-1968,2,train,./dataset/Abstract_Expressionism/alice-baber_through-sleep-to-orange-1968.jpg,Abstract Expressionism,Abstract Expressionism
alice-baber_wheel-of-day-1971.jpg,alice baber,wheel-of-day-1971,2,train,./dataset/Abstract_Expressionism/alice-baber_wheel-of-day-1971.jpg,Abstract Expressionism,Abstract Expressionism
alma-woodsey-thomas_the-stormy-sea-1958.jpg,alma woodsey thomas,the-stormy-sea-1958,2,train,./dataset/Abstract_Expressionism/alma-woodsey-thomas_the-stormy-sea-1958.jpg,Abstract Expressionism,Abstract Expressionism
